Dates,Category,Descript,DayOfWeek,PdDistrict
2015-05-12 01:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,RICHMOND
2015-05-12 01:01:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW
2015-05-12 00:10:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,INGLESIDE
2015-05-12 00:10:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE
2015-05-12 00:01:00,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,Tuesday,NORTHERN
2015-05-11 22:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW
2015-05-11 19:07:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW
2015-05-11 18:02:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN
2015-05-11 18:02:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN
2015-05-11 17:44:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,MISSION
2015-05-11 11:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,PARK
2015-05-11 11:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN
2015-05-11 06:44:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Monday,TENDERLOIN
2015-05-11 01:15:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,SOUTHERN
2015-05-03 19:55:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Sunday,TENDERLOIN
2015-05-03 19:51:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Sunday,TENDERLOIN
2015-05-03 19:05:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,TENDERLOIN
2015-05-03 19:05:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TENDERLOIN
2015-05-03 09:19:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Sunday,MISSION
2015-05-03 02:35:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TARAVAL
2015-05-03 00:09:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TARAVAL
2015-05-02 23:15:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,RICHMOND
2015-05-02 22:06:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,TENDERLOIN
2015-05-02 18:45:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,CENTRAL
2015-05-02 18:27:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,SOUTHERN
2015-05-02 14:50:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,SOUTHERN
2015-05-02 05:48:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,TARAVAL
2015-05-02 02:27:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,MISSION
2015-05-02 00:01:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,NORTHERN
2015-05-02 00:01:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,NORTHERN
2015-05-01 19:28:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,BAYVIEW
2015-05-01 19:28:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,BAYVIEW
2015-05-01 19:28:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Friday,BAYVIEW
2015-05-01 17:52:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE
2015-05-01 08:16:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,MISSION
2015-05-01 00:35:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,SOUTHERN
2015-04-30 23:00:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,NORTHERN
2015-04-30 21:05:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Thursday,NORTHERN
2015-04-30 21:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,NORTHERN
2015-04-30 18:00:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Thursday,BAYVIEW
2015-04-30 17:15:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,SOUTHERN
2015-04-30 13:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,TENDERLOIN
2015-04-30 12:00:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Thursday,BAYVIEW
2015-04-30 10:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,SOUTHERN
2015-04-30 09:13:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,SOUTHERN
2015-04-29 22:47:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Wednesday,TENDERLOIN
2015-04-29 20:23:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,MISSION
2015-04-29 20:23:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION
2015-04-29 18:49:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,MISSION
2015-04-29 17:25:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,CENTRAL
2015-04-29 14:16:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,TENDERLOIN
2015-04-29 14:04:00,SUICIDE,ATTEMPTED SUICIDE,Wednesday,MISSION
2015-04-29 13:32:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,BAYVIEW
2015-04-29 13:32:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Wednesday,BAYVIEW
2015-04-29 13:08:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,TENDERLOIN
2015-04-29 12:45:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Wednesday,TENDERLOIN
2015-04-29 12:28:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,RICHMOND
2015-04-29 06:06:00,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,Wednesday,TENDERLOIN
2015-04-29 04:17:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,MISSION
2015-04-28 15:54:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Tuesday,MISSION
2015-04-28 12:00:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE
2015-04-28 11:30:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Tuesday,TENDERLOIN
2015-04-28 09:37:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW
2015-04-28 00:06:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,NORTHERN
2015-04-27 18:56:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,INGLESIDE
2015-04-27 18:47:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,SOUTHERN
2015-04-27 16:53:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,NORTHERN
2015-04-27 16:33:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,BAYVIEW
2015-04-27 16:23:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Monday,TENDERLOIN
2015-04-27 12:50:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,NORTHERN
2015-04-27 12:50:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,NORTHERN
2015-04-27 11:37:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN
2015-04-27 09:32:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,NORTHERN
2015-04-27 00:27:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,INGLESIDE
2015-04-27 00:01:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,BAYVIEW
2015-04-27 00:01:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,BAYVIEW
2015-04-19 21:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,MISSION
2015-04-19 19:01:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Sunday,TENDERLOIN
2015-04-19 18:32:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,SOUTHERN
2015-04-19 17:33:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN
2015-04-19 17:33:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN
2015-04-19 16:34:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC FOR SALES,Sunday,PARK
2015-04-19 16:34:00,DRUG/NARCOTIC,SALE OF HALLUCINOGENIC,Sunday,PARK
2015-04-19 15:20:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TENDERLOIN
2015-04-19 14:51:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,CENTRAL
2015-04-19 12:49:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Sunday,BAYVIEW
2015-04-19 12:49:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Sunday,BAYVIEW
2015-04-19 12:49:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,BAYVIEW
2015-04-19 12:29:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Sunday,PARK
2015-04-19 12:29:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Sunday,PARK
2015-04-19 12:00:00,DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION,Sunday,SOUTHERN
2015-04-19 11:58:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,PARK
2015-04-19 11:58:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Sunday,PARK
2015-04-19 11:18:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC FOR SALES,Sunday,PARK
2015-04-19 11:18:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Sunday,PARK
2015-04-19 11:18:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Sunday,PARK
2015-04-19 09:51:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,MISSION
2015-04-19 06:39:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,SOUTHERN
2015-04-19 04:37:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,PARK
2015-04-19 03:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,SOUTHERN
2015-04-18 23:59:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,PARK
2015-04-18 23:13:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN
2015-04-18 22:27:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,BAYVIEW
2015-04-18 01:46:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Saturday,MISSION
2015-04-17 21:46:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,NORTHERN
2015-04-17 16:08:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,CENTRAL
2015-04-17 14:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,SOUTHERN
2015-04-17 12:28:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,CENTRAL
2015-04-17 12:28:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,CENTRAL
2015-04-17 12:28:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Friday,CENTRAL
2015-04-17 11:40:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TENDERLOIN
2015-04-17 10:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE
2015-04-17 08:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,RICHMOND
2015-04-17 08:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,RICHMOND
2015-04-17 02:08:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE
2015-04-17 01:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TARAVAL
2015-04-16 23:30:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,MISSION
2015-04-16 22:48:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,NORTHERN
2015-04-16 22:48:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,NORTHERN
2015-04-16 19:41:00,DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION,Thursday,INGLESIDE
2015-04-16 17:40:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,NORTHERN
2015-04-16 17:40:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,NORTHERN
2015-04-16 13:37:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,SOUTHERN
2015-04-16 08:27:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,TENDERLOIN
2015-04-16 07:45:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2015-04-16 04:20:00,SUICIDE,SUICIDE BY JUMPING,Thursday,CENTRAL
2015-04-16 02:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,BAYVIEW
2015-04-16 00:01:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,INGLESIDE
2015-04-16 00:01:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,INGLESIDE
2015-04-15 23:28:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,BAYVIEW
2015-04-15 22:50:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,NORTHERN
2015-04-15 21:14:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,MISSION
2015-04-15 20:38:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,TENDERLOIN
2015-04-15 19:45:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN
2015-04-15 17:53:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,INGLESIDE
2015-04-15 17:12:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Wednesday,SOUTHERN
2015-04-15 16:46:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,NORTHERN
2015-04-15 16:46:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,NORTHERN
2015-04-15 16:46:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,NORTHERN
2015-04-15 15:49:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,SOUTHERN
2015-04-15 15:20:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,SOUTHERN
2015-04-15 14:06:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,BAYVIEW
2015-04-15 12:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,TENDERLOIN
2015-04-15 12:35:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Wednesday,TENDERLOIN
2015-04-15 11:25:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,TENDERLOIN
2015-04-15 11:25:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2015-04-15 02:58:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,TENDERLOIN
2015-04-15 02:49:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,TARAVAL
2015-04-15 02:06:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,TRANSPORTATION OF HEROIN,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,POSSESSION OF OPIATES FOR SALES,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,TRANSPORTATION OF OPIATES,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Wednesday,CENTRAL
2015-04-15 02:06:00,DRUG/NARCOTIC,TRANSPORTATION OF METH-AMPHETAMINE,Wednesday,CENTRAL
2015-04-14 21:53:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,NORTHERN
2015-04-14 17:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,SOUTHERN
2015-04-14 16:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,SOUTHERN
2015-04-14 14:49:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,SOUTHERN
2015-04-14 13:50:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,SOUTHERN
2015-04-14 10:36:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,PARK
2015-04-14 10:36:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,PARK
2015-04-14 04:15:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,TENDERLOIN
2015-04-13 17:09:00,DRUG/NARCOTIC,SALE OF OPIUM,Monday,CENTRAL
2015-04-13 17:09:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,CENTRAL
2015-04-13 17:09:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,CENTRAL
2015-04-13 11:30:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY BROOKERS/AGENTS",Monday,RICHMOND
2015-04-13 10:58:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,PARK
2015-04-13 01:50:00,DRUG/NARCOTIC,TRANSPORTAION OF CONTROLLED SUBSTANCE,Monday,CENTRAL
2015-04-13 01:50:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,CENTRAL
2015-04-13 01:50:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,CENTRAL
2015-04-13 01:18:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,CENTRAL
2015-04-05 23:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,CENTRAL
2015-04-05 21:44:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,MISSION
2015-04-05 20:40:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,NORTHERN
2015-04-05 17:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,PARK
2015-04-05 17:31:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,Sunday,PARK
2015-04-05 17:24:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,TENDERLOIN
2015-04-05 17:05:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,MISSION
2015-04-05 14:15:00,DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION,Sunday,SOUTHERN
2015-04-05 10:54:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Sunday,TENDERLOIN
2015-04-05 10:54:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Sunday,TENDERLOIN
2015-04-05 10:00:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Sunday,INGLESIDE
2015-04-05 06:34:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Sunday,BAYVIEW
2015-04-05 06:34:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,BAYVIEW
2015-04-05 00:25:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,NORTHERN
2015-04-04 23:55:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Saturday,TENDERLOIN
2015-04-04 23:55:00,DRUG/NARCOTIC,POSSESSION OF OPIATES FOR SALES,Saturday,TENDERLOIN
2015-04-04 23:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,MISSION
2015-04-04 23:33:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,MISSION
2015-04-04 23:33:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Saturday,MISSION
2015-04-04 22:06:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,SOUTHERN
2015-04-04 22:06:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,SOUTHERN
2015-04-04 21:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,NORTHERN
2015-04-04 21:47:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Saturday,TENDERLOIN
2015-04-04 19:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,BAYVIEW
2015-04-04 19:30:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,BAYVIEW
2015-04-04 17:45:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Saturday,MISSION
2015-04-04 17:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2015-04-04 16:07:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,INGLESIDE
2015-04-04 16:01:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,SOUTHERN
2015-04-04 16:01:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN
2015-04-04 14:19:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,RICHMOND
2015-04-04 13:28:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN
2015-04-04 08:08:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Saturday,TENDERLOIN
2015-04-04 08:08:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Saturday,TENDERLOIN
2015-04-04 00:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,CENTRAL
